time,market_capitalization
2015-06-30,0
2015-06-30,0
2016-06-30,413800000000
2017-06-30,554300000000
2018-06-29,680000000000
2019-06-28,663000000000
2020-06-30,849700000000
2021-06-30,1451100000000
2022-06-30,1256100000000
2023-06-30,1331200000000
