time,market_capitalization
2009-12-31,235244858633
2010-12-31,208370414170
2011-12-31,195333665376
2012-12-31,202945146270
2013-12-31,284539953282
2014-12-31,365312377595
2015-12-31,424500000000
2016-12-31,466500000000
2017-12-31,650100000000
2018-12-31,769600000000
2019-12-31,1200000000000
2020-12-31,1700000000000
2021-12-31,2500000000000
2022-12-31,1800000000000
2023-12-31,2800000000000
