time,market_capitalization
2009-03-28,94593000000
2009-03-28,94593000000
2009-03-28,94593000000
2010-03-27,208565000000
2011-03-25,322921000000
2012-03-30,560356000000
2013-03-29,416005000000
2014-03-28,462522000000
2015-03-27,709923000000
2016-03-25,578807000000
2017-03-31,747509000000
2018-03-30,828880000000
2019-03-29,874698000000
2020-03-27,1070633000000
2021-03-26,2021360000000
2022-03-25,2830067000000
2023-03-31,2591165000000
