start,end,net_income_loss
2017-04-01,2017-06-30,-336397000
2017-04-01,2017-06-30,-336397000
2017-01-01,2017-09-30,-1286050000
2017-01-01,2017-09-30,-1286050000
2017-07-01,2017-09-30,-619376000
2017-07-01,2017-09-30,-619376000
2017-07-01,2017-09-30,-619376000
2017-07-01,2017-09-30,-619376000
2017-01-01,2017-12-31,-1961400000
2017-01-01,2017-12-31,-1961400000
2017-01-01,2017-12-31,-1962000000
2017-10-01,2017-12-31,-675350000
2017-10-01,2017-12-31,-675350000
2018-01-01,2018-03-31,-709551000
2018-01-01,2018-03-31,-709551000
2018-01-01,2018-03-31,-709551000
2018-01-01,2018-03-31,-709000000
2018-01-01,2018-06-30,-1427090000
2018-01-01,2018-06-30,-1427090000
2018-04-01,2018-06-30,-717539000
2018-04-01,2018-06-30,-717539000
2018-04-01,2018-06-30,-717539000
2018-04-01,2018-06-30,-718000000
2018-01-01,2018-09-30,-1115574000
2018-01-01,2018-09-30,-1116000000
2018-07-01,2018-09-30,311516000
2018-07-01,2018-09-30,311516000
2018-07-01,2018-09-30,311000000
2018-07-01,2018-09-30,311000000
2018-01-01,2018-12-31,-976091000
2018-01-01,2018-12-31,-976000000
2018-01-01,2018-12-31,-976000000
2018-10-01,2018-12-31,139483000
2018-10-01,2018-12-31,140000000
2019-01-01,2019-03-31,-702135000
2019-01-01,2019-03-31,-702000000
2019-01-01,2019-03-31,-702000000
2019-01-01,2019-03-31,-702000000
2019-01-01,2019-06-30,-1110469000
2019-01-01,2019-06-30,-1110000000
2019-04-01,2019-06-30,-408334000
2019-04-01,2019-06-30,-408000000
2019-04-01,2019-06-30,-408000000
2019-04-01,2019-06-30,-408000000
2019-01-01,2019-09-30,-967000000
2019-01-01,2019-09-30,-967000000
2019-07-01,2019-09-30,143000000
2019-07-01,2019-09-30,143000000
2019-07-01,2019-09-30,143000000
2019-07-01,2019-09-30,143000000
2019-01-01,2019-12-31,-862000000
2019-01-01,2019-12-31,-862000000
2019-01-01,2019-12-31,-862000000
2019-10-01,2019-12-31,105000000
2019-10-01,2019-12-31,105000000
2020-01-01,2020-03-31,16000000
2020-01-01,2020-03-31,16000000
2020-01-01,2020-03-31,16000000
2020-01-01,2020-06-30,120000000
2020-01-01,2020-06-30,120000000
2020-04-01,2020-06-30,104000000
2020-04-01,2020-06-30,104000000
2020-04-01,2020-06-30,104000000
2020-01-01,2020-09-30,451000000
2020-01-01,2020-09-30,451000000
2020-07-01,2020-09-30,331000000
2020-07-01,2020-09-30,331000000
2020-07-01,2020-09-30,331000000
2020-01-01,2020-12-31,721000000
2020-01-01,2020-12-31,721000000
2020-01-01,2020-12-31,721000000
2020-10-01,2020-12-31,270000000
2021-01-01,2021-03-31,438000000
2021-01-01,2021-03-31,438000000
2021-01-01,2021-06-30,1580000000
2021-01-01,2021-06-30,1580000000
2021-04-01,2021-06-30,1142000000
2021-04-01,2021-06-30,1142000000
2021-01-01,2021-09-30,3198000000
2021-01-01,2021-09-30,3198000000
2021-07-01,2021-09-30,1618000000
2021-07-01,2021-09-30,1618000000
2021-01-01,2021-12-31,5519000000
2021-01-01,2021-12-31,5519000000
2021-01-01,2021-12-31,5519000000
2022-01-01,2022-03-31,3318000000
2022-01-01,2022-03-31,3318000000
2022-01-01,2022-06-30,5577000000
2022-01-01,2022-06-30,5577000000
2022-04-01,2022-06-30,2259000000
2022-04-01,2022-06-30,2259000000
2022-01-01,2022-09-30,8869000000
2022-01-01,2022-09-30,8869000000
2022-07-01,2022-09-30,3292000000
2022-07-01,2022-09-30,3292000000
2022-01-01,2022-12-31,12556000000
2022-01-01,2022-12-31,12556000000
2023-01-01,2023-03-31,2513000000
2023-01-01,2023-03-31,2513000000
2023-01-01,2023-06-30,5216000000
2023-01-01,2023-06-30,5216000000
2023-04-01,2023-06-30,2703000000
2023-04-01,2023-06-30,2703000000
2023-01-01,2023-09-30,7069000000
2023-07-01,2023-09-30,1853000000
2023-01-01,2023-12-31,14997000000
2024-01-01,2024-03-31,1129000000
2024-01-01,2024-06-30,2607000000
2024-04-01,2024-06-30,1478000000
