start,end,net_income_loss
2016-02-01,2016-05-01,208000000
2016-02-01,2016-07-31,449000000
2016-02-01,2016-07-31,469000000
2016-02-01,2016-07-31,469000000
2016-02-01,2016-07-31,469000000
2016-05-02,2016-07-31,253000000
2016-05-02,2016-07-31,261000000
2016-05-02,2016-07-31,261000000
2016-05-02,2016-07-31,261000000
2016-05-02,2016-07-31,261000000
2016-02-01,2016-10-30,1012000000
2016-02-01,2016-10-30,1012000000
2016-08-01,2016-10-30,542000000
2016-08-01,2016-10-30,542000000
2016-08-01,2016-10-30,542000000
2016-08-01,2016-10-30,542000000
2016-02-01,2017-01-29,1666000000
2016-02-01,2017-01-29,1666000000
2016-02-01,2017-01-29,1666000000
2016-10-31,2017-01-29,655000000
2016-10-31,2017-01-29,655000000
2017-01-30,2017-04-30,507000000
2017-01-30,2017-04-30,507000000
2017-01-30,2017-04-30,507000000
2017-01-30,2017-04-30,507000000
2017-01-30,2017-07-30,1091000000
2017-01-30,2017-07-30,583000000
2017-01-30,2017-07-30,1091000000
2017-05-01,2017-07-30,583000000
2017-05-01,2017-07-30,583000000
2017-05-01,2017-07-30,583000000
2017-01-30,2017-10-29,1928000000
2017-01-30,2017-10-29,1928000000
2017-07-31,2017-10-29,838000000
2017-07-31,2017-10-29,838000000
2017-07-31,2017-10-29,838000000
2017-07-31,2017-10-29,838000000
2017-01-30,2018-01-28,3047000000
2017-01-30,2018-01-28,3047000000
2017-01-30,2018-01-28,3047000000
2017-10-30,2018-01-28,1118000000
2017-10-30,2018-01-28,1118000000
2018-01-29,2018-04-29,1244000000
2018-01-29,2018-04-29,1244000000
2018-01-29,2018-04-29,1244000000
2018-01-29,2018-04-29,1244000000
2018-01-29,2018-07-29,2345000000
2018-01-29,2018-07-29,2345000000
2018-04-30,2018-07-29,1101000000
2018-04-30,2018-07-29,1101000000
2018-04-30,2018-07-29,1101000000
2018-04-30,2018-07-29,1101000000
2018-01-29,2018-10-28,3575000000
2018-01-29,2018-10-28,3575000000
2018-07-30,2018-10-28,1230000000
2018-07-30,2018-10-28,1230000000
2018-07-30,2018-10-28,1230000000
2018-07-30,2018-10-28,1230000000
2018-01-29,2019-01-27,4141000000
2018-01-29,2019-01-27,4141000000
2018-01-29,2019-01-27,4141000000
2018-10-29,2019-01-27,567000000
2018-10-29,2019-01-27,567000000
2019-01-28,2019-04-28,394000000
2019-01-28,2019-04-28,394000000
2019-01-28,2019-04-28,394000000
2019-01-28,2019-07-28,947000000
2019-01-28,2019-07-28,947000000
2019-04-29,2019-07-28,552000000
2019-04-29,2019-07-28,552000000
2019-04-29,2019-07-28,552000000
2019-01-28,2019-10-27,1845000000
2019-01-28,2019-10-27,1845000000
2019-07-29,2019-10-27,899000000
2019-07-29,2019-10-27,899000000
2019-07-29,2019-10-27,899000000
2019-01-28,2020-01-26,2796000000
2019-01-28,2020-01-26,2796000000
2019-01-28,2020-01-26,2796000000
2019-10-28,2020-01-26,950000000
2020-01-27,2020-04-26,917000000
2020-01-27,2020-04-26,917000000
2020-01-27,2020-07-26,1539000000
2020-01-27,2020-07-26,1539000000
2020-04-27,2020-07-26,622000000
2020-04-27,2020-07-26,622000000
2020-01-27,2020-10-25,2875000000
2020-01-27,2020-10-25,2875000000
2020-07-27,2020-10-25,1336000000
2020-07-27,2020-10-25,1336000000
2020-01-27,2021-01-31,4332000000
2020-01-27,2021-01-31,4332000000
2020-01-27,2021-01-31,4332000000
2021-02-01,2021-05-02,1912000000
2021-02-01,2021-05-02,1912000000
2021-02-01,2021-08-01,4285000000
2021-02-01,2021-08-01,4285000000
2021-05-03,2021-08-01,2374000000
2021-05-03,2021-08-01,2374000000
2021-02-01,2021-10-31,6749000000
2021-02-01,2021-10-31,6749000000
2021-08-02,2021-10-31,2464000000
2021-08-02,2021-10-31,2464000000
2021-02-01,2022-01-30,9752000000
2021-02-01,2022-01-30,9752000000
2021-02-01,2022-01-30,9752000000
2022-01-31,2022-05-01,1618000000
2022-01-31,2022-05-01,1618000000
2022-01-31,2022-07-31,2274000000
2022-01-31,2022-07-31,2274000000
2022-05-02,2022-07-31,656000000
2022-05-02,2022-07-31,656000000
2022-01-31,2022-10-30,2954000000
2022-01-31,2022-10-30,2954000000
2022-08-01,2022-10-30,680000000
2022-08-01,2022-10-30,680000000
2022-01-31,2023-01-29,4368000000
2022-01-31,2023-01-29,4368000000
2023-01-30,2023-04-30,2043000000
2023-01-30,2023-04-30,2043000000
2023-01-30,2023-07-30,8232000000
2023-01-30,2023-07-30,8232000000
2023-05-01,2023-07-30,6188000000
2023-05-01,2023-07-30,6188000000
2023-01-30,2023-10-29,17475000000
2023-07-31,2023-10-29,9243000000
2023-01-30,2024-01-28,29760000000
2024-01-29,2024-04-28,14881000000
2024-01-29,2024-07-28,31480000000
2024-04-29,2024-07-28,16599000000
